新年快乐,#genre#
宁夏卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/ningxia/__op/default/__f//index.m3u8
安徽卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/anhuiSD/__op/default/__f//index.m3u8
山西卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/shanxiSD/__op/default/__f//index.m3u8
广东卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/guangdongHD/__op/default/__f//index.m3u8
广西卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/guangxiHD/__op/default/__f//index.m3u8
新疆卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/xinjiangSD/__op/default/__f//index.m3u8
江苏卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/jiangsuHD/__op/default/__f//index.m3u8
江西卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/jiangxiHD/__op/default/__f//index.m3u8
河北卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/hebeiSD/__op/default/__f//index.m3u8
河南卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/henanHD/__op/default/__f//index.m3u8
浙江卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/zhejiangHD/__op/default/__f//index.m3u8
海南卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/hainanSD/__op/default/__f//index.m3u8
深圳卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/shenzhenHD/__op/default/__f//index.m3u8
湖北卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/hubeiSD/__op/default/__f//index.m3u8
湖南卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/hunanHD/__op/default/__f//index.m3u8
西藏卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/xizangSD/__op/default/__f//index.m3u8
贵州卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/guizhouHD/__op/default/__f//index.m3u8
辽宁卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/liaoningHD/__op/default/__f//index.m3u8
重庆卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/chongqingHD/__op/default/__f//index.m3u8
青海卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/qinghaiSD/__op/default/__f//index.m3u8
黑龙江卫视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/heilongjiangHD/__op/default/__f//index.m3u8
三沙卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/sanshaSD/__op/default/__f//index.m3u8
教育卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/sdjiaoyuSD/__op/default/__f//index.m3u8
兵团卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/bingtuanSD/__op/default/__f//index.m3u8
重庆新闻高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/CQTVNewsHD/__op/default/__f//index.m3u8
重庆科教高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/CQTVkejiaoHD/__op/default/__f//index.m3u8
重庆影视高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cqyingshiHD/__op/default/__f//index.m3u8
重庆文体娱乐高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cqwtylHD/__op/default/__f//index.m3u8
重庆少儿高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cqseHD/__op/default/__f//index.m3u8
重庆时尚生活高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cqssgwHD/__op/default/__f//index.m3u8
重庆新农村高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/cqggncHD/__op/default/__f//index.m3u8
家有购物,http://baidu.live.cqccn.com/__cl/cg:live/__c/jygw/__op/default/__f//index.m3u8
书画,http://baidu.live.cqccn.com/__cl/cg:live/__c/shuhua/__op/default/__f//index.m3u8
摄影,http://baidu.live.cqccn.com/__cl/cg:live/__c/sheying/__op/default/__f//index.m3u8
车迷频道,http://baidu.live.cqccn.com/__cl/cg:live/__c/doxtv/__op/default/__f//index.m3u8
SiTV都市剧场高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/dsjcHD/__op/default/__f//index.m3u8
SiTV魅力足球高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/mlzqHD/__op/default/__f//index.m3u8
SiTV动漫秀场高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/dmxcHD/__op/default/__f//index.m3u8
SiTV游戏风云高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/yxfyHD/__op/default/__f//index.m3u8
求索纪录高清,http://baidu.live.cqccn.com/__cl/cg:live/__c/qsjlHD/__op/default/__f//index.m3u8
CHC高清电影,http://baidu.live.cqccn.com/__cl/cg:live/__c/chcgqdyHD/__op/default/__f//index.m3u8
CHC动作电影,http://baidu.live.cqccn.com/__cl/cg:live/__c/chcdzdyHD/__op/default/__f//index.m3u8
CHC家庭影院,http://baidu.live.cqccn.com/__cl/cg:live/__c/chcjtyyHD/__op/default/__f//index.m3u8
新春愉快,#genre#
CCTV1,http://wabc.ml/sxg.php?id=CCTV-1H265_4000
CCTV2,http://wabc.ml/sxg.php?id=CCTV-2H265_4000
CCTV3,http://wabc.ml/sxg.php?id=CCTV-3H265_4000
CCTV4,http://wabc.ml/sxg.php?id=CCTV-4H265_4000
CCTV5,http://wabc.ml/sxg.php?id=CCTV-5H265_4000
CCTV5+,http://wabc.ml/sxg.php?id=CCTV-5plusH265_4000
CCTV6,http://wabc.ml/sxg.php?id=CCTV-6H265_4000
CCTV7,http://wabc.ml/sxg.php?id=CCTV-7H265_4000
CCTV8,http://wabc.ml/sxg.php?id=CCTV-8H265_4000
CCTV9,http://wabc.ml/sxg.php?id=CCTV-9H265_4000
CCTV10,http://wabc.ml/sxg.php?id=CCTV-10H265_4000
CCTV11,http://wabc.ml/sxg.php?id=CCTV-11-H265_4000
CCTV12,http://wabc.ml/sxg.php?id=CCTV-12H265_4000
CCTV13,http://wabc.ml/sxg.php?id=CCTV-xw_4000
CCTV14,http://wabc.ml/sxg.php?id=CCTV-14H265_4000
CCTV15,http://wabc.ml/sxg.php?id=CCTV-15-yyH265_4000
CCTV17,http://wabc.ml/sxg.php?id=CCTV-17_4000
CHC家庭电影,http://wabc.ml/sxg.php?id=jbtygqCHCjtyyH265_4000
CHC动作电影,http://wabc.ml/sxg.php?id=gef.wqCHCdzdyH265_4000
CHC高清电影,http://wabc.ml/sxg.php?id=lnwsCHC-HDH265_4000
4K超高清电影,http://wabc.ml/sxg.php?id=emdy4k_8000
江苏卫视,http://wabc.ml/sxg.php?id=jswsH265_4000
北京卫视,http://wabc.ml/sxg.php?id=bjwsH265_4000
东方卫视,http://wabc.ml/sxg.php?id=dfwsH265_4000
湖南卫视,http://wabc.ml/sxg.php?id=hnwsH265_4000
浙江卫视,http://wabc.ml/sxg.php?id=zjwsH265_4000
广东卫视,http://wabc.ml/sxg.php?id=gdwsH265_4000
江西卫视,http://wabc.ml/sxg.php?id=jxwsH265_4000
湖北卫视,http://wabc.ml/sxg.php?id=hbwsH265_4000
重庆卫视,http://wabc.ml/sxg.php?id=cqwsH265_4000
安徽卫视,http://wabc.ml/sxg.php?id=ahwsH265_4000
q群893454040,http://wabc.ml/sxg.php?id=ahwsH265_4000
东南卫视,http://wabc.ml/sxg.php?id=dnwsfjwsH265_4000
山东卫视,http://wabc.ml/sxg.php?id=sdwsH265_4000
深圳卫视,http://wabc.ml/sxg.php?id=szwsH265_4000
天津卫视,http://wabc.ml/sxg.php?id=tjwsH265_4000
贵州卫视,http://wabc.ml/sxg.php?id=gzwsH265_4000
吉林卫视,http://wabc.ml/sxg.php?id=jlwsH265_4000
黑龙江卫视,http://wabc.ml/sxg.php?id=hljwsH265_4000
四川卫视,http://wabc.ml/sxg.php?id=scwsH265_4000
CCTV风云音乐,http://wabc.ml/sxg.php?id=fyyy_4000
CCTV女时尚,http://wabc.ml/sxg.php?id=nxss_4000
CCTV兵器科教,http://wabc.ml/sxg.php?id=bqkj_4000
CCTV世界地理,http://wabc.ml/sxg.php?id=sjdl_4000
CCTV世界地理,http://wabc.ml/sxg.php?id=yscq4kH265_4000
甘肃卫视,http://wabc.ml/sxg.php?id=gsws_4000
云南卫视,http://wabc.ml/sxg.php?id=ynws_4000
广西卫视,http://wabc.ml/sxg.php?id=gxws_4000
河南卫视,http://wabc.ml/sxg.php?id=hnws35_4000
陕西卫视,http://wabc.ml/sxg.php?id=sxws_4000
山西卫视,http://wabc.ml/sxg.php?id=sxws42_4000
内蒙古卫视,http://wabc.ml/sxg.php?id=nmgws_4000
风云音乐HD,http://wabc.ml/sxg.php?id=fyyy_4000
河南卫视,http://wabc.ml/sxg.php?id=hnws_4000
四海钓鱼,http://wabc.ml/sxg.php?id=shdy_4000
国防军事,http://wabc.ml/sxg.php?id=gfjs_4000
世界地理,http://wabc.ml/sxg.php?id=sjdl_4000
摄影,http://wabc.ml/sxg.php?id=sy_4000
早期教育,http://wabc.ml/sxg.php?id=zqjy_4000
中国教育4,http://wabc.ml/sxg.php?id=zhms_4000
家庭理财,http://wabc.ml/sxg.php?id=jtlcH264_4000
中国教育1,http://wabc.ml/sxg.php?id=CETV-1H264_4000
快乐垂钓,http://wabc.ml/sxg.php?id=fyzqklcdHDH265_4000
都市剧场,http://wabc.ml/sxg.php?id=yxfydsjcHDH265_4000
新视觉,http://wabc.ml/sxg.php?id=ycxsjH265_4000
生活时尚,http://wabc.ml/sxg.php?id=shssH265_4000
全纪实,http://wabc.ml/sxg.php?id=qjs-HDH265_4000
SCTV-7hd,http://wabc.ml/sxg.php?id=SCTV-7-_4000
峨眉电影,http://wabc.ml/sxg.php?id=emdygqH265_4000
大吉大利,#genre#
CCTV1,https://live.v1.mk/api/ghyx.php?id=CCTV1HD_6000
CCTV2,https://live.v1.mk/api/ghyx.php?id=CCTV2HD_6000
CCTV3,https://live.v1.mk/api/ghyx.php?id=CCTV3HD_6000
CCTV4,https://live.v1.mk/api/ghyx.php?id=CCTV4HD_6000
CCTV5,https://live.v1.mk/api/ghyx.php?id=CCTV5HD_6000
CCTV5+,https://live.v1.mk/api/ghyx.php?id=CCTV5plusHD_6000
CCTV6,https://live.v1.mk/api/ghyx.php?id=CCTV6HD_6000
CCTV7,https://live.v1.mk/api/ghyx.php?id=CCTV7HD_6000
CCTV8,https://live.v1.mk/api/ghyx.php?id=CCTV8HD_6000
CCTV9,https://live.v1.mk/api/ghyx.php?id=CCTV9HD_6000
CCTV10,https://live.v1.mk/api/ghyx.php?id=CCTV10HD_6000
CCTV11,https://live.v1.mk/api/ghyx.php?id=CCTV11HD_2000
CCTV12,https://live.v1.mk/api/ghyx.php?id=CCTV12HD_6000
CCTV13,https://live.v1.mk/api/ghyx.php?id=CCTV13HD_2000
CCTV14,https://live.v1.mk/api/ghyx.php?id=CCTV14HD_6000
CCTV15,https://live.v1.mk/api/ghyx.php?id=CCTV15HD_6000
CCTV16,https://live.v1.mk/api/ghyx.php?id=CCTV16HD_6000
CCTV17,https://live.v1.mk/api/ghyx.php?id=CCTV17HD_6000
歌华导视,https://live.v1.mk/api/ghyx.php?id=GeHuadaoshiHD_6000
CHC家庭影院 标清,https://live.v1.mk/api/ghyx.php?id=CHCHD_2000
CHC高清电影,https://live.v1.mk/api/ghyx.php?id=CHCHD2_6000
CHC动作电影 标清,https://live.v1.mk/api/ghyx.php?id=MotionHD_2000
都市剧场,https://live.v1.mk/api/ghyx.php?id=DuShiJuChangHD_6000
劲爆体育,https://live.v1.mk/api/ghyx.php?id=JinBaoTiYuHD_6000
浙江卫视,https://live.v1.mk/api/ghyx.php?id=ZheJiangHD_6000
北京卫视,https://live.v1.mk/api/ghyx.php?id=BTV1HD_6000
广西卫视,https://live.v1.mk/api/ghyx.php?id=GuangXiHD_6000
辽宁卫视,https://live.v1.mk/api/ghyx.php?id=LiaoNingHD_6000
安徽卫视,https://live.v1.mk/api/ghyx.php?id=AnHuiHD_6000
江苏卫视,https://live.v1.mk/api/ghyx.php?id=JiangSuHD_6000
东方卫视,https://live.v1.mk/api/ghyx.php?id=DongFangHD_6000
东南卫视,https://live.v1.mk/api/ghyx.php?id=FuJianHD_6000
湖南卫视,https://live.v1.mk/api/ghyx.php?id=HuNanHD_6000
湖北卫视,https://live.v1.mk/api/ghyx.php?id=HuBeiHD_6000
广东卫视,https://live.v1.mk/api/ghyx.php?id=GuangDongHD_6000
广西卫视,https://live.v1.mk/api/ghyx.php?id=GuangXiHD_6000
深圳卫视,https://live.v1.mk/api/ghyx.php?id=ShenZhenHD_6000
四川卫视,https://live.v1.mk/api/ghyx.php?id=SiChuanHD_6000
山东卫视,https://live.v1.mk/api/ghyx.php?id=ShanDongHD_6000
q群893454040,https://live.v1.mk/api/ghyx.php?id=ShanDongHD_6000
河南卫视,https://live.v1.mk/api/ghyx.php?id=HeNanHD_6000
河北卫视,https://live.v1.mk/api/ghyx.php?id=HeBeiHD_6000
江西卫视,https://live.v1.mk/api/ghyx.php?id=JiangXiHD_6000
天津卫视,https://live.v1.mk/api/ghyx.php?id=TianJinHD_6000
重庆卫视,https://live.v1.mk/api/ghyx.php?id=ChongQingHD_6000
黑龙江卫视,https://live.v1.mk/api/ghyx.php?id=HeiLongJiangHD_6000
吉林卫视,https://live.v1.mk/api/ghyx.php?id=JiLinWeiShiHD_6000
海南卫视,https://live.v1.mk/api/ghyx.php?id=LvYouWeiShiHD_6000
内蒙古卫视 标清,https://live.v1.mk/api/ghyx.php?id=NeiMengGuHD_2000
山西卫视 标清,https://live.v1.mk/api/ghyx.php?id=ShanXiHD_2000
陕西卫视 标清,https://live.v1.mk/api/ghyx.php?id=ShannXiHD_2000
云南卫视 标清,https://live.v1.mk/api/ghyx.php?id=YunNanHD_2000
兵团卫视 标清,https://live.v1.mk/api/ghyx.php?id=BTTVHD_2000
贵州卫视 标清,https://live.v1.mk/api/ghyx.php?id=GuiZhouHD_2000
青海卫视 标清,https://live.v1.mk/api/ghyx.php?id=QingHaiHD_2000
西藏卫视 标清,https://live.v1.mk/api/ghyx.php?id=XiZangHD_2000
新疆卫视 标清,https://live.v1.mk/api/ghyx.php?id=XinJiangHD_2000
甘肃卫视 标清,https://live.v1.mk/api/ghyx.php?id=GanSuHD_2000
厦门卫视 标清,https://live.v1.mk/api/ghyx.php?id=XiaMenHD_2000
宁夏卫视 标清,https://live.v1.mk/api/ghyx.php?id=NingXiaHD_2000
北京卫视BTV-1,https://live.v1.mk/api/ghyx.php?id=BTV1HD_6000
北京文艺BTV-2,https://live.v1.mk/api/ghyx.php?id=BTVwenyiHD_6000
北京科教BTV-3,https://live.v1.mk/api/ghyx.php?id=BTVKeJiaoHD_6000
北京科教BTV-3 标清,https://live.v1.mk/api/ghyx.php?id=BTV3HD_2000
北京影视BTV-4,https://live.v1.mk/api/ghyx.php?id=BTV4HD_6000
北京财经BTV-5,https://live.v1.mk/api/ghyx.php?id=BTVCaiJingHD_6000
北京财经BTV-5 标清,https://live.v1.mk/api/ghyx.php?id=BTV5HD_2000
北京体育休闲BTV-6,https://live.v1.mk/api/ghyx.php?id=BTVjishiHD_6000
北京生活BTV-7,https://live.v1.mk/api/ghyx.php?id=BTVShengHuoHD_6000
北京生活BTV-7 标清,https://live.v1.mk/api/ghyx.php?id=BTV7HD_2000
北京青年BTV-8,https://live.v1.mk/api/ghyx.php?id=BTVQingNianHD_6000
北京青年BTV-8 标清,https://live.v1.mk/api/ghyx.php?id=BTV8HD_2000
北京新闻BTV-9,https://live.v1.mk/api/ghyx.php?id=BTV9HD_6000
北京卡酷BTV-10 标清,https://live.v1.mk/api/ghyx.php?id=BTV10HD_2000
乐游,https://live.v1.mk/api/ghyx.php?id=QuanJiShiHD_6000
中国教育1,https://live.v1.mk/api/ghyx.php?id=CETV1HD_6000
中国教育3,https://live.v1.mk/api/ghyx.php?id=CETV3HD_2000
中国教育4,https://live.v1.mk/api/ghyx.php?id=CETV4HD_2000
动漫秀场,https://live.v1.mk/api/ghyx.php?id=DongManXiuChangHD_6000
游戏风云,https://live.v1.mk/api/ghyx.php?id=YouXiFengYunHD_6000
东方财经,https://live.v1.mk/api/ghyx.php?id=DongFangCaiJingHD_6000
足球频道,https://live.v1.mk/api/ghyx.php?id=ZuQiuHD_6000
添丁发财,#genre#
CCTV1,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv18m/8000000/mnf.m3u8
CCTV1,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv1hd8m/8000000/mnf.m3u8
CCTV2,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv2hd8m/8000000/mnf.m3u8
CCTV3,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv38m/8000000/mnf.m3u8
CCTV4,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv4hd8m/8000000/mnf.m3u8
CCTV5,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv58m/8000000/mnf.m3u8
CCTV5+,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv5phd8m/8000000/mnf.m3u8
CCTV6,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv6hd8m/8000000/mnf.m3u8
CCTV7,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv7hd8m/8000000/mnf.m3u8
CCTV8,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv8hd8m/8000000/mnf.m3u8
CCTV9,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv9hd8m/8000000/mnf.m3u8
CCTV10,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv10hd8m/8000000/mnf.m3u8
CCTV11,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv11hd8m/8000000/mnf.m3u8
CCTV12,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv12hd8m/8000000/mnf.m3u8
CCTV13,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv13xwhd8m/8000000/mnf.m3u8
CCTV14,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctvsehd8m/8000000/mnf.m3u8
CCTV15,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV16,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv16hd8m/8000000/mnf.m3u8
CCTV17,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cctv17hd8m/8000000/mnf.m3u8
江苏卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/jswshd8m/8000000/mnf.m3u8
广西卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/gxwshd8m/8000000/mnf.m3u8
四川卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/scwshd/8000000/mnf.m3u8
上海卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/dfwshd8m/8000000/mnf.m3u8
湖南卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/hunanwshd8m/8000000/mnf.m3u8
浙江卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/zjwshd8m/8000000/mnf.m3u8
东方卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/dfwshd8m/8000000/mnf.m3u8
北京卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/bjwshd8m/8000000/mnf.m3u8
天津卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/tjwshd8m/8000000/mnf.m3u8
辽宁卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/lnwshd8m/8000000/mnf.m3u8
安徽卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/ahwshd8m/8000000/mnf.m3u8
黑龙江卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/hljwshd8m/8000000/mnf.m3u8
广东卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/gdwshd8m/8000000/mnf.m3u8
深圳卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/szwshd8m/8000000/mnf.m3u8
q群893454040,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/szwshd8m/8000000/mnf.m3u8
湖北卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/hubeiws8m/8000000/mnf.m3u8
吉林卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/jlwshd8m/8000000/mnf.m3u8
山东卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/sdws8m/8000000/mnf.m3u8
江西卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/jxws8m/8000000/mnf.m3u8
河南卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/hnwshd8m/8000000/mnf.m3u8
河北卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/hbwshd8m/8000000/mnf.m3u8
甘肃卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/gswshd8m/8000000/mnf.m3u8
重庆卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/cqws8m/8000000/mnf.m3u8
东南卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/dnwshd8m/8000000/mnf.m3u8
云南卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/ynwshd8m/8000000/mnf.m3u8
贵州卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/gzwshd8m/8000000/mnf.m3u8
海南卫视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/hainanwshd8m/8000000/mnf.m3u8
欢笑剧场,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/hxjc8m/8000000/mnf.m3u8
劲爆体育,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/jbtyhd8m/8000000/mnf.m3u8
快乐垂钓,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/klcd8m/8000000/mnf.m3u8
金鹰纪实,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/jyjs8m/8000000/mnf.m3u8
戏曲精选,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/xqjx8m/8000000/mnf.m3u8
第一财经,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/dycjhd8m/8000000/mnf.m3u8
上视新闻,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/xwzhhd8m/8000000/mnf.m3u8
上海都市,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/dshd8m/8000000/mnf.m3u8
上海纪实,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/jspdhd/4000000/mnf.m3u8
东方影视,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/dfyshd8m/8000000/mnf.m3u8
五星体育,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/wxtyhd8m/8000000/mnf.m3u8
上视外语,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/icshd8m/8000000/mnf.m3u8
七彩戏剧,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/qcxjhd8m/8000000/mnf.m3u8
上海教育,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/setvhd/8000000/mnf.m3u8
全纪实,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/qjshd8m/8000000/mnf.m3u8
生活时尚,http://112.84.131.145/liveplay-kk.rtxapp.com/live/program/live/shss8m/8000000/mnf.m3u8
